gene,msi,component,r,r_abs
Nrgn,mz.297.070615,6,-0.47302723,0.47302723
Nrgn,mz.296.06595500000003,6,-0.4695328,0.4695328
Nrgn,mz.258.110295,6,-0.4676479,0.4676479
Nrgn,mz.516.190135,6,-0.46759567,0.46759567
Nrgn,mz.592.0904700000001,6,-0.46750253,0.46750253
Nrgn,mz.297.069625,6,-0.4576568,0.4576568
Nrgn,mz.298.062905,6,-0.4551651,0.4551651
Nrgn,mz.394.12496,6,-0.45344,0.45344
Nrgn,mz.298.06399999999996,6,-0.448902,0.448902
Nrgn,mz.297.06824,6,-0.44061685,0.44061685
Nrgn,mz.280.092375,6,-0.43576312,0.43576312
Nrgn,mz.560.1485299999999,6,-0.43139982,0.43139982
Nrgn,mz.298.065095,6,-0.43077204,0.43077204
Nrgn,mz.259.11330999999996,6,-0.42304564,0.42304564
Cck,mz.516.190135,6,-0.40700224,0.40700224
Nrgn,mz.259.113915,6,-0.40068817,0.40068817
Cdr1os,mz.516.190135,6,-0.39940226,0.39940226
Cdr1os,mz.258.110295,6,-0.39826956,0.39826956
Cck,mz.258.110295,6,-0.39627686,0.39627686
Nrgn,mz.592.09793,6,-0.39486003,0.39486003
Cdr1os,mz.592.0904700000001,6,-0.39398438,0.39398438
Cdr1os,mz.296.06595500000003,6,-0.39216846,0.39216846
Cdr1os,mz.297.070615,6,-0.38655537,0.38655537
Cdr1os,mz.297.069625,6,-0.38486987,0.38486987
Nrgn,mz.281.09517,6,-0.3823068,0.3823068
Slc17a7,mz.516.190135,6,-0.3815641,0.3815641
Cdr1os,mz.298.06399999999996,6,-0.37852818,0.37852818
Cdr1os,mz.298.062905,6,-0.37746722,0.37746722
Cck,mz.394.12496,6,-0.3765859,0.3765859
Cck,mz.592.0904700000001,6,-0.3751294,0.3751294
Cdr1os,mz.297.06824,6,-0.37358996,0.37358996
Cck,mz.296.06595500000003,6,-0.37084216,0.37084216
Slc17a7,mz.258.110295,6,-0.37076586,0.37076586
Cck,mz.297.070615,6,-0.3695612,0.3695612
Cdr1os,mz.298.065095,6,-0.36953992,0.36953992
Nnat,mz.258.110295,6,0.36938238,0.36938238
Cdr1os,mz.259.11330999999996,6,-0.36868852,0.36868852
Cck,mz.562.323125,6,-0.36535406,0.36535406
Slc17a7,mz.592.0904700000001,6,-0.36453158,0.36453158
Slc17a7,mz.394.12496,6,-0.363101,0.363101
Cck,mz.259.11330999999996,6,-0.3619332,0.3619332
Slc17a7,mz.296.06595500000003,6,-0.36178195,0.36178195
Slc17a7,mz.297.070615,6,-0.3616079,0.3616079
Cck,mz.297.069625,6,-0.3614794,0.3614794
Cdr1os,mz.259.113915,6,-0.35912463,0.35912463
Cdr1os,mz.394.12496,6,-0.3582943,0.3582943
Nnat,mz.516.190135,6,0.35702783,0.35702783
Slc17a7,mz.297.069625,6,-0.35337102,0.35337102
Cck,mz.298.062905,6,-0.3528013,0.3528013
Cck,mz.298.06399999999996,6,-0.35211083,0.35211083
Cdr1os,mz.592.09793,6,-0.35204515,0.35204515
Slc17a7,mz.298.06399999999996,6,-0.34907013,0.34907013
Slc17a7,mz.298.062905,6,-0.3490312,0.3490312
Cck,mz.259.113915,6,-0.34860945,0.34860945
Cck,mz.297.06824,6,-0.34858114,0.34858114
Cck,mz.560.1485299999999,6,-0.34650838,0.34650838
Cck,mz.298.065095,6,-0.3418024,0.3418024
Cck,mz.280.092375,6,-0.34130955,0.34130955
Slc17a7,mz.297.06824,6,-0.3401873,0.3401873
Scn1b,mz.516.190135,6,-0.34015244,0.34015244
Nnat,mz.259.11330999999996,6,0.34011436,0.34011436
Slc17a7,mz.298.065095,6,-0.33719707,0.33719707
Scn1b,mz.258.110295,6,-0.33607012,0.33607012
Slc17a7,mz.562.323125,6,-0.3348192,0.3348192
Nnat,mz.280.092375,6,0.33306232,0.33306232
Nnat,mz.259.113915,6,0.33238578,0.33238578
Slc17a7,mz.259.11330999999996,6,-0.3323229,0.3323229
Cdr1os,mz.562.323125,6,-0.33136567,0.33136567
Cck,mz.281.09517,6,-0.33052054,0.33052054
Cdr1os,mz.280.092375,6,-0.33009332,0.33009332
Nnat,mz.394.12496,6,0.3289212,0.3289212
Cdr1os,mz.560.1485299999999,6,-0.32633105,0.32633105
Nnat,mz.560.1485299999999,6,0.32368225,0.32368225
Cck,mz.592.09793,6,-0.32281673,0.32281673
Nrgn,mz.562.323125,6,-0.32105938,0.32105938
Slc17a7,mz.259.113915,6,-0.31955045,0.31955045
Scn1b,mz.297.070615,6,-0.31913787,0.31913787
Cdr1os,mz.281.09517,6,-0.3152634,0.3152634
Slc17a7,mz.280.092375,6,-0.31513256,0.31513256
Scn1b,mz.394.12496,6,-0.31467825,0.31467825
Slc17a7,mz.560.1485299999999,6,-0.31467462,0.31467462
Slc17a7,mz.592.09793,6,-0.31298015,0.31298015
Scn1b,mz.280.092375,6,-0.31203365,0.31203365
Nnat,mz.296.06595500000003,6,0.31075436,0.31075436
Scn1b,mz.592.0904700000001,6,-0.31021917,0.31021917
Scn1b,mz.296.06595500000003,6,-0.3086042,0.3086042
Nnat,mz.562.323125,6,0.3078547,0.3078547
Nnat,mz.281.09517,6,0.30697292,0.30697292
Nnat,mz.592.0904700000001,6,0.30640283,0.30640283
Scn1b,mz.297.069625,6,-0.30447763,0.30447763
Scn1b,mz.259.11330999999996,6,-0.3043963,0.3043963
Scn1b,mz.560.1485299999999,6,-0.3042932,0.3042932
Nnat,mz.297.069625,6,0.30329424,0.30329424
Nnat,mz.298.065095,6,0.30119228,0.30119228
Nnat,mz.297.06824,6,0.3007185,0.3007185
Slc17a7,mz.281.09517,6,-0.29978228,0.29978228
Nnat,mz.298.06399999999996,6,0.29967076,0.29967076
Scn1b,mz.298.062905,6,-0.29878253,0.29878253
Scn1b,mz.298.06399999999996,6,-0.29873228,0.29873228
Scn1b,mz.259.113915,6,-0.29562476,0.29562476
Nnat,mz.298.062905,6,0.2954514,0.2954514
Scn1b,mz.281.09517,6,-0.2944246,0.2944246
Nnat,mz.297.070615,6,0.291649,0.291649
Plp1,mz.297.070615,6,0.29123563,0.29123563
Scn1b,mz.297.06824,6,-0.29059854,0.29059854
Scn1b,mz.298.065095,6,-0.2900526,0.2900526
Mef2c,mz.516.190135,6,-0.28893036,0.28893036
Rgs4,mz.280.092375,6,-0.28387922,0.28387922
Nnat,mz.592.09793,6,0.27963668,0.27963668
Mef2c,mz.297.070615,6,-0.27954853,0.27954853
Rgs4,mz.560.1485299999999,6,-0.27763146,0.27763146
Adcy1,mz.516.190135,6,-0.27654442,0.27654442
Mef2c,mz.592.0904700000001,6,-0.27634728,0.27634728
Mef2c,mz.258.110295,6,-0.27586251,0.27586251
Mef2c,mz.562.323125,6,-0.27406675,0.27406675
Plp1,mz.592.0904700000001,6,0.27287245,0.27287245
Scn1b,mz.592.09793,6,-0.27243552,0.27243552
Adcy1,mz.258.110295,6,-0.27226704,0.27226704
Mef2c,mz.296.06595500000003,6,-0.27031758,0.27031758
Plp1,mz.296.06595500000003,6,0.2693764,0.2693764
Adcy1,mz.592.0904700000001,6,-0.2675922,0.2675922
Mef2c,mz.297.069625,6,-0.26661456,0.26661456
Rgs4,mz.297.070615,6,-0.2663718,0.2663718
Mbp,mz.297.070615,6,0.26561186,0.26561186
Olfm1,mz.516.190135,6,-0.264948,0.264948
Adcy1,mz.296.06595500000003,6,-0.2635614,0.2635614
