gene,msi,component,r,r_abs
Dbi,mz.284.77471,6,0.29020643,0.29020643
Dbi,mz.569.518775,6,0.28612626,0.28612626
Dbi,mz.286.77187000000004,6,0.28602237,0.28602237
Dbi,mz.282.77783,6,0.2834671,0.2834671
Dbi,mz.573.512445,6,0.28133935,0.28133935
Dbi,mz.150.88660499999997,6,0.28034627,0.28034627
Dbi,mz.288.768965,6,0.28027695,0.28027695
Dbi,mz.152.883785,6,0.2794026,0.2794026
Dbi,mz.565.525445,6,0.27870798,0.27870798
Dbi,mz.301.764925,6,0.27758002,0.27758002
Dbi,mz.150.886795,6,0.27711943,0.27711943
Dbi,mz.305.75867,6,0.2737797,0.2737797
Dbi,mz.154.88083999999998,6,0.26794213,0.26794213
Wfs1,mz.171.006475,6,-0.2618965,0.2618965
Dbi,mz.342.73335,6,0.25299,0.25299
Pnmal2,mz.171.006475,6,-0.2485668,0.2485668
Wfs1,mz.342.00199,6,-0.24769735,0.24769735
Dbi,mz.210.84250500000002,6,0.24322213,0.24322213
Dbi,mz.344.73039,6,0.24079381,0.24079381
Thbs4,mz.286.77187000000004,6,0.23885919,0.23885919
Fth1,mz.286.77187000000004,6,0.23528999,0.23528999
Dbi,mz.360.7937,6,0.23474684,0.23474684
Thbs4,mz.284.77471,6,0.23434284,0.23434284
Fth1,mz.284.77471,6,0.23425412,0.23425412
Dbi,mz.208.84542,6,0.23407008,0.23407008
Pnmal2,mz.342.00199,6,-0.23382248,0.23382248
Wfs1,mz.228.965125,6,-0.23342314,0.23342314
Thbs4,mz.573.512445,6,0.23329999,0.23329999
Gng5,mz.286.77187000000004,6,0.23277509,0.23277509
Fth1,mz.282.77783,6,0.23246032,0.23246032
Dbi,mz.505.96179,6,0.23234601,0.23234601
Gng5,mz.284.77471,6,0.23149225,0.23149225
Fth1,mz.171.006475,6,0.23122932,0.23122932
Thbs4,mz.282.77783,6,0.23052295,0.23052295
Fth1,mz.573.512445,6,0.22946435,0.22946435
Fth1,mz.565.525445,6,0.22913536,0.22913536
Fth1,mz.569.518775,6,0.22909048,0.22909048
Fth1,mz.288.768965,6,0.22869597,0.22869597
Gng5,mz.569.518775,6,0.2277904,0.2277904
Gng5,mz.565.525445,6,0.2272503,0.2272503
Gng5,mz.282.77783,6,0.2266497,0.2266497
Dbi,mz.266.80385,6,0.22650363,0.22650363
Fth1,mz.228.965125,6,0.2263779,0.2263779
Thbs4,mz.565.525445,6,0.22621384,0.22621384
Thbs4,mz.569.518775,6,0.22565483,0.22565483
Dbi,mz.537.574345,6,0.22551894,0.22551894
