gene,msi,component,r,r_abs
Slc17a7,mz.822.27959,0,0.48206148,0.48206148
Slc17a7,mz.554.0458,0,0.4687791,0.4687791
Slc17a7,mz.555.04915,0,0.4590203,0.4590203
Slc17a7,mz.697.23266,0,0.45768416,0.45768416
Slc17a7,mz.698.23612,0,0.45620483,0.45620483
Slc17a7,mz.428.14952,0,0.45582068,0.45582068
Slc17a7,mz.432.08618,0,0.45501617,0.45501617
Slc17a7,mz.431.08294,0,0.45339563,0.45339563
Slc17a7,mz.382.14402,0,0.45252183,0.45252183
Slc17a7,mz.427.13738,0,0.450687,0.450687
Slc17a7,mz.699.22822,0,0.45067006,0.45067006
Slc17a7,mz.373.17158,0,-0.4470169,0.4470169
Slc17a7,mz.697.2391,0,0.44611537,0.44611537
Slc17a7,mz.698.24258,0,0.4459155,0.4459155
Slc17a7,mz.426.13386,0,0.44482225,0.44482225
Slc17a7,mz.426.1394,0,0.4414997,0.4414997
Slc17a7,mz.554.0519,0,0.4400299,0.4400299
Slc17a7,mz.429.1528,0,0.4390602,0.4390602
Slc17a7,mz.428.14054,0,0.43856406,0.43856406
Slc17a7,mz.433.08094,0,0.4380699,0.4380699
Slc17a7,mz.427.13472,0,0.43742728,0.43742728
Slc17a7,mz.711.25459,0,0.43592265,0.43592265
Slc17a7,mz.354.1128,0,0.43570244,0.43570244
Slc17a7,mz.426.12809,0,0.43551302,0.43551302
Slc17a7,mz.862.09285,0,0.43488073,0.43488073
Slc17a7,mz.170.45622,0,0.43388575,0.43388575
Slc17a7,mz.427.14125,0,0.42952704,0.42952704
Slc17a7,mz.355.11611,0,0.4287833,0.4287833
Slc17a7,mz.398.13898,0,0.42836726,0.42836726
Slc17a7,mz.712.25852,0,0.42713556,0.42713556
Slc17a7,mz.711.25794,0,0.4262511,0.4262511
Slc17a7,mz.820.52425,0,0.4260504,0.4260504
Slc17a7,mz.554.04133,0,0.42418277,0.42418277
Slc17a7,mz.426.12472,0,0.42417866,0.42417866
Slc17a7,mz.699.23923,0,0.42389622,0.42389622
Slc17a7,mz.354.14918,0,0.42376357,0.42376357
Slc17a7,mz.383.14755,0,0.42361113,0.42361113
Slc17a7,mz.428.13762,0,0.4206028,0.4206028
Slc17a7,mz.693.23733,0,0.4196159,0.4196159
Slc17a7,mz.170.85749,0,0.41961378,0.41961378
Slc17a7,mz.399.14248,0,0.41739815,0.41739815
Slc17a7,mz.433.07846,0,0.4165874,0.4165874
Slc17a7,mz.482.10025,0,0.41607782,0.41607782
Slc17a7,mz.412.11825,0,0.41541982,0.41541982
Slc17a7,mz.431.08737,0,0.41168568,0.41168568
Slc17a7,mz.290.12525,0,-0.41014335,0.41014335
Slc17a7,mz.427.13255,0,0.40973705,0.40973705
Slc17a7,mz.338.1179,0,0.4088958,0.4088958
Slc17a7,mz.556.05285,0,0.4073884,0.4073884
Slc17a7,mz.821.52703,0,0.40699258,0.40699258
Slc17a7,mz.326.11793,0,0.4050308,0.4050308
Slc17a7,mz.444.14443,0,0.4041316,0.4041316
Slc17a7,mz.651.22691,0,0.40396243,0.40396243
Slc17a7,mz.289.12188,0,-0.4038644,0.4038644
Slc17a7,mz.848.55532,0,0.4037187,0.4037187
Slc17a7,mz.328.13352,0,0.4036287,0.4036287
Nrgn,mz.373.17158,0,-0.4007031,0.4007031
Slc17a7,mz.289.12398,0,-0.39868313,0.39868313
Slc17a7,mz.289.12287,0,-0.39813814,0.39813814
Slc17a7,mz.854.20307,0,0.3979987,0.3979987
Slc17a7,mz.573.24283,0,-0.39743656,0.39743656
Slc17a7,mz.289.12454,0,-0.39657438,0.39657438
Slc17a7,mz.408.12338,0,0.39651185,0.39651185
Slc17a7,mz.429.14378,0,0.39531827,0.39531827
Slc17a7,mz.426.12352,0,0.39401823,0.39401823
Slc17a7,mz.370.1441,0,0.3931488,0.3931488
Slc17a7,mz.469.03851,0,0.3928061,0.3928061
Slc17a7,mz.772.52412,0,0.38915342,0.38915342
Slc17a7,mz.415.10892,0,0.3873893,0.3873893
Pacs2,mz.554.0458,0,-0.3867758,0.3867758
Slc17a7,mz.445.14777,0,0.38488472,0.38488472
Rpl4,mz.554.0458,0,-0.38309985,0.38309985
Slc17a7,mz.574.24314,0,-0.38133246,0.38133246
Slc17a7,mz.368.12845,0,0.3812904,0.3812904
Slc17a7,mz.849.55898,0,0.38103032,0.38103032
Pacs2,mz.427.13738,0,-0.38102293,0.38102293
Nrgn,mz.822.27959,0,0.38070023,0.38070023
Slc17a7,mz.229.30061,0,-0.3800226,0.3800226
Pacs2,mz.697.23266,0,-0.37995154,0.37995154
Pacs2,mz.426.13386,0,-0.3790049,0.3790049
Slc17a7,mz.472.21336,0,-0.37848765,0.37848765
Slc17a7,mz.773.52705,0,0.37725642,0.37725642
Pacs2,mz.698.23612,0,-0.37658715,0.37658715
Rpl4,mz.555.04915,0,-0.37565696,0.37565696
Pacs2,mz.426.1394,0,-0.37542194,0.37542194
Pacs2,mz.382.14402,0,-0.3751939,0.3751939
Rpl4,mz.382.14402,0,-0.3750164,0.3750164
Slc17a7,mz.574.24577,0,-0.3749591,0.3749591
Rpl4,mz.427.13738,0,-0.3748202,0.3748202
Pacs2,mz.555.04915,0,-0.3744253,0.3744253
Pacs2,mz.427.13472,0,-0.37415117,0.37415117
Pacs2,mz.428.14952,0,-0.37356353,0.37356353
Pacs2,mz.711.25459,0,-0.37354115,0.37354115
Pacs2,mz.426.12809,0,-0.37271273,0.37271273
Slc17a7,mz.846.53992,0,0.3720734,0.3720734
Nrgn,mz.554.0458,0,0.3712938,0.3712938
Rpl4,mz.428.14952,0,-0.3708273,0.3708273
Rpl4,mz.697.23266,0,-0.3707195,0.3707195
Pacs2,mz.170.45622,0,-0.3700107,0.3700107
Pacs2,mz.289.12287,0,0.36900064,0.36900064
Rpl4,mz.427.13472,0,-0.36883515,0.36883515
Mobp,mz.554.0458,0,-0.36876017,0.36876017
Pacs2,mz.428.14054,0,-0.36856735,0.36856735
Slc17a7,mz.574.22829,0,-0.36805522,0.36805522
Rpl4,mz.426.13386,0,-0.3677383,0.3677383
Rpl4,mz.711.25459,0,-0.36773187,0.36773187
Pacs2,mz.697.2391,0,-0.3675269,0.3675269
Slc17a7,mz.713.45134,0,0.3673222,0.3673222
Slc17a7,mz.574.23659,0,-0.3670522,0.3670522
Nrgn,mz.555.04915,0,0.3667761,0.3667761
Rpl4,mz.698.23612,0,-0.3665999,0.3665999
Pacs2,mz.711.25794,0,-0.3665639,0.3665639
Pacs2,mz.698.24258,0,-0.36615753,0.36615753
Mobp,mz.697.23266,0,-0.36578178,0.36578178
Rpl4,mz.426.1394,0,-0.36559594,0.36559594
Slc17a7,mz.573.23369,0,-0.3652113,0.3652113
Slc17a7,mz.573.22672,0,-0.36467153,0.36467153
Bc1,mz.820.52425,0,0.36413687,0.36413687
Pacs2,mz.427.14125,0,-0.364102,0.364102
Pacs2,mz.354.14918,0,-0.36404753,0.36404753
Nrgn,mz.432.08618,0,0.36390644,0.36390644
Nrgn,mz.697.23266,0,0.36350632,0.36350632
Rpl4,mz.428.14054,0,-0.36343324,0.36343324
Nrgn,mz.699.22822,0,0.36329955,0.36329955
Rpl4,mz.697.2391,0,-0.36214617,0.36214617
Nrgn,mz.698.23612,0,0.36181578,0.36181578
Rpl4,mz.699.22822,0,-0.36142522,0.36142522
Rpl4,mz.711.25794,0,-0.3614236,0.3614236
Rpl4,mz.427.14125,0,-0.36138952,0.36138952
Pacs2,mz.554.0519,0,-0.36129415,0.36129415
Pacs2,mz.426.12472,0,-0.36101198,0.36101198
Rpl4,mz.432.08618,0,-0.36099175,0.36099175
Nrgn,mz.428.14952,0,0.36096603,0.36096603
Rpl4,mz.426.12809,0,-0.36081654,0.36081654
Slc17a7,mz.416.11226,0,0.36072135,0.36072135
Pacs2,mz.354.1128,0,-0.36063468,0.36063468
Rpl4,mz.354.1128,0,-0.3601764,0.3601764
Rpl4,mz.698.24258,0,-0.3600826,0.3600826
Mobp,mz.428.14952,0,-0.3598983,0.3598983
Pacs2,mz.355.11611,0,-0.35986233,0.35986233
Rpl4,mz.415.10892,0,-0.35980672,0.35980672
Nrgn,mz.862.09285,0,0.35947496,0.35947496
Slc17a7,mz.290.12425,0,-0.35922724,0.35922724
Nrgn,mz.431.08294,0,0.35904753,0.35904753
Rpl4,mz.431.08294,0,-0.35894406,0.35894406
Bc1,mz.848.55532,0,0.35881424,0.35881424
Pacs2,mz.398.13898,0,-0.35868198,0.35868198
Nrgn,mz.698.24258,0,0.35851318,0.35851318
Rpl4,mz.554.0519,0,-0.3576285,0.3576285
Mobp,mz.555.04915,0,-0.35758948,0.35758948
Bc1,mz.554.0458,0,0.3574039,0.3574039
Pacs2,mz.699.22822,0,-0.35706323,0.35706323
Olfm1,mz.554.0458,0,0.3568903,0.3568903
Nrgn,mz.472.21336,0,-0.35669836,0.35669836
Mobp,mz.698.23612,0,-0.35649988,0.35649988
Pacs2,mz.429.1528,0,-0.35630232,0.35630232
Nrgn,mz.382.14402,0,0.3563009,0.3563009
Nrgn,mz.697.2391,0,0.3562416,0.3562416
Pacs2,mz.432.08618,0,-0.35540116,0.35540116
Rpl4,mz.355.11611,0,-0.35521767,0.35521767
Pacs2,mz.822.27959,0,-0.35516343,0.35516343
Pacs2,mz.573.24283,0,0.3550634,0.3550634
Rpl4,mz.398.13898,0,-0.3549309,0.3549309
Pacs2,mz.699.23923,0,-0.35480487,0.35480487
Nrgn,mz.427.13738,0,0.35453045,0.35453045
Rpl4,mz.862.09285,0,-0.3544069,0.3544069
Rpl4,mz.822.27959,0,-0.35426646,0.35426646
Slc17a7,mz.575.23994,0,-0.3541291,0.3541291
Slc17a7,mz.573.22368,0,-0.35411572,0.35411572
Slc17a7,mz.573.22107,0,-0.35395473,0.35395473
Pacs2,mz.170.85749,0,-0.3536938,0.3536938
Nrgn,mz.554.0519,0,0.3536299,0.3536299
Pacs2,mz.383.14755,0,-0.35355467,0.35355467
Pacs2,mz.574.24314,0,0.3535537,0.3535537
Mobp,mz.427.13738,0,-0.35298115,0.35298115
Rpl4,mz.433.08094,0,-0.35267568,0.35267568
Slc17a7,mz.289.12631,0,-0.3525214,0.3525214
Bc1,mz.427.13738,0,0.352349,0.352349
Slc17a7,mz.453.06455,0,0.3523298,0.3523298
Mobp,mz.697.2391,0,-0.35201412,0.35201412
Bc1,mz.382.14402,0,0.35177946,0.35177946
Pacs2,mz.712.25852,0,-0.35172975,0.35172975
Olfm1,mz.822.27959,0,0.35167003,0.35167003
Bc1,mz.428.14952,0,0.3513826,0.3513826
Rpl4,mz.289.12287,0,0.35105574,0.35105574
Pacs2,mz.338.1179,0,-0.3509318,0.3509318
Rpl4,mz.354.14918,0,-0.3505466,0.3505466
Rpl4,mz.429.1528,0,-0.35034573,0.35034573
Pacs2,mz.326.11793,0,-0.3503009,0.3503009
Pacs2,mz.431.08294,0,-0.34992152,0.34992152
Nrgn,mz.820.52425,0,0.34967577,0.34967577
Rpl4,mz.712.25852,0,-0.34965134,0.34965134
Pacs2,mz.290.12525,0,0.3496452,0.3496452
Rpl4,mz.170.45622,0,-0.34959912,0.34959912
Bc1,mz.426.1394,0,0.34952495,0.34952495
Bc1,mz.821.52703,0,0.3494938,0.3494938
Nrgn,mz.426.13386,0,0.34940913,0.34940913
Bc1,mz.426.13386,0,0.34920824,0.34920824
Pacs2,mz.693.23733,0,-0.34910896,0.34910896
Olfm1,mz.697.23266,0,0.34900516,0.34900516
Rpl4,mz.820.52425,0,-0.34870565,0.34870565
Pacs2,mz.415.10892,0,-0.34838837,0.34838837
Pacs2,mz.427.13255,0,-0.3483476,0.3483476
Nrgn,mz.428.14054,0,0.34790912,0.34790912
Mobp,mz.426.13386,0,-0.34783906,0.34783906
Bc1,mz.555.04915,0,0.3478129,0.3478129
Nrgn,mz.426.1394,0,0.34773773,0.34773773
Rpl4,mz.426.12472,0,-0.34691823,0.34691823
Mobp,mz.822.27959,0,-0.346895,0.346895
Bc1,mz.354.14918,0,0.34684843,0.34684843
