gene,w,component,w_abs
Pcp4,0.1136309,0,0.1136309
Cdr1os,-0.08679343,0,0.08679343
Penk,0.084945366,0,0.084945366
Pde1b,0.0848174,0,0.0848174
Gpr88,0.07465926,0,0.07465926
Rgs9,0.07046128,0,0.07046128
Ppp1r1b,0.067173615,0,0.067173615
Cck,-0.06707998,0,0.06707998
Vip,-0.067049265,0,0.067049265
Adcy5,0.064515755,0,0.064515755
Inf2,0.059505392,0,0.059505392
Rasd2,0.059222024,0,0.059222024
Lamp5,-0.05842748,0,0.05842748
Adora2a,0.057516802,0,0.057516802
Plp1,0.056532085,0,0.056532085
Mef2c,-0.055023246,0,0.055023246
Bcl11b,0.05479676,0,0.05479676
Scn4b,0.053950183,0,0.053950183
Pde10a,0.053938452,0,0.053938452
Hpca,0.05358533,0,0.05358533
Drd2,0.050894205,0,0.050894205
Pcp4l1,0.050634123,0,0.050634123
Syndig1l,0.0506059,0,0.0506059
Arpp21,0.04898945,0,0.04898945
Pvalb,-0.046503857,0,0.046503857
Olfm1,-0.046442248,0,0.046442248
Drd1,0.046357695,0,0.046357695
Rxrg,0.04628832,0,0.04628832
Tac1,0.045780443,0,0.045780443
Gng7,0.045505073,0,0.045505073
Spock3,0.04489881,0,0.04489881
Foxp1,0.044619326,0,0.044619326
Mobp,0.043462444,0,0.043462444
Kcnab1,0.0423968,0,0.0423968
Six3,0.04179458,0,0.04179458
Adcy1,-0.040283132,0,0.040283132
Necab2,0.039537758,0,0.039537758
Crym,0.0394754,0,0.0394754
Slc17a7,-0.039447613,0,0.039447613
Meis2,0.039283726,0,0.039283726
Ogn,-0.038605962,0,0.038605962
Mal,0.03828025,0,0.03828025
Maf,-0.037966214,0,0.037966214
Cryab,0.037253153,0,0.037253153
Efnb3,0.03724157,0,0.03724157
Nnat,0.036846224,0,0.036846224
Shank1,-0.036599427,0,0.036599427
Col1a2,-0.036312547,0,0.036312547
Nr4a2,0.03594765,0,0.03594765
Stmn4,0.03495028,0,0.03495028
Ryr3,0.034555722,0,0.034555722
Aplp1,0.033542447,0,0.033542447
Parp9,-0.03341781,0,0.03341781
Hbb-bs,-0.033137638,0,0.033137638
Nptxr,-0.033091974,0,0.033091974
Dach1,0.032865226,0,0.032865226
Apod,0.03278558,0,0.03278558
Nexn,0.03274548,0,0.03274548
Ppp3ca,0.0326075,0,0.0326075
Tgfa,0.032373745,0,0.032373745
Klhl13,0.032081414,0,0.032081414
