gene,w,component,w_abs
Nrgn,0.08416085,0,0.08416085
Calb1,0.07263605,0,0.07263605
Wfs1,-0.071426354,0,0.071426354
Rasd2,0.066058114,0,0.066058114
Spock3,0.06581013,0,0.06581013
Coch,0.064573154,0,0.064573154
Lrrc10b,0.0645403,0,0.0645403
Cystm1,0.06418137,0,0.06418137
Drd2,0.06313548,0,0.06313548
Pde10a,0.06208311,0,0.06208311
Gpr88,0.06033225,0,0.06033225
Scn4b,0.059783828,0,0.059783828
Pcp4,0.058564547,0,0.058564547
Hpca,0.05852253,0,0.05852253
Rgs4,0.05760137,0,0.05760137
Arpp21,0.056989856,0,0.056989856
Rxrg,0.05577865,0,0.05577865
Agt,-0.055202235,0,0.055202235
Ppp1r1b,0.0537831,0,0.0537831
Dmkn,0.053636447,0,0.053636447
Syndig1l,0.0531982,0,0.0531982
Gpr6,0.049704693,0,0.049704693
Pcp4l1,0.049311716,0,0.049311716
Chd5,-0.04858802,0,0.04858802
Otof,-0.047358036,0,0.047358036
Lbhd2,0.04682319,0,0.04682319
Atp1a2,-0.046043705,0,0.046043705
Ptgds,-0.04604012,0,0.04604012
Pde1b,0.04584752,0,0.04584752
Pnmal2,-0.045645885,0,0.045645885
C1ql3,-0.044563584,0,0.044563584
Ptpn5,0.042565048,0,0.042565048
Gpr83,-0.042524144,0,0.042524144
Penk,0.041596547,0,0.041596547
Adora2a,0.041166782,0,0.041166782
Necab2,0.04098377,0,0.04098377
H2afv,0.040584356,0,0.040584356
Pdyn,-0.040441863,0,0.040441863
Adcy5,0.040108796,0,0.040108796
Bgn,-0.039119497,0,0.039119497
Slc6a12,-0.038986806,0,0.038986806
Slc6a11,-0.038601924,0,0.038601924
Ppp3ca,0.037846502,0,0.037846502
Ctxn3,-0.037643842,0,0.037643842
Tmem130,-0.037469972,0,0.037469972
Scg2,0.037324015,0,0.037324015
Oip5os1,-0.037176188,0,0.037176188
Ptgis,-0.03714111,0,0.03714111
Rasgrp2,0.036941335,0,0.036941335
Cd4,0.03676501,0,0.03676501
Lhx8,-0.036739487,0,0.036739487
Zbtb20,-0.036737762,0,0.036737762
Itih3,-0.035379,0,0.035379
Gng7,0.035230316,0,0.035230316
Lars2,-0.035173535,0,0.035173535
Meis2,0.0351093,0,0.0351093
Lrfn2,-0.03497812,0,0.03497812
Slc5a5,-0.034653142,0,0.034653142
Lmo3,0.034412067,0,0.034412067
Hbb-bs,-0.034370724,0,0.034370724
Zic1,0.034221306,0,0.034221306
Kcnab3,0.034183502,0,0.034183502
Hba-a2,-0.03412811,0,0.03412811
Hba-a1,-0.033959214,0,0.033959214
Kars,0.03386509,0,0.03386509
Prkcd,0.03371647,0,0.03371647
Marcksl1,-0.03362423,0,0.03362423
Gng5,0.033316,0,0.033316
Tesc,0.033173166,0,0.033173166
Gabra3,-0.03315063,0,0.03315063
Cpxm1,-0.03297573,0,0.03297573
Slc26a7,-0.0328223,0,0.0328223
Vstm2a,-0.03234901,0,0.03234901
Fmod,-0.032242876,0,0.032242876
Nr4a2,0.032198273,0,0.032198273
Slc30a3,-0.032142106,0,0.032142106
Myoc,-0.031993423,0,0.031993423
Snrpe,0.031620782,0,0.031620782
Igsf1,-0.03136499,0,0.03136499
Igf2,-0.031211317,0,0.031211317
Yaf2,0.031008594,0,0.031008594
Bin1,-0.030925103,0,0.030925103
Sncb,-0.030895008,0,0.030895008
Foxc2,-0.0307889,0,0.0307889
Mef2c,-0.030313237,0,0.030313237
Sox11,-0.030233119,0,0.030233119
Sec14l1,0.030214239,0,0.030214239
Adrb2,-0.03016087,0,0.03016087
Prkcg,-0.030135788,0,0.030135788
Agpat2,-0.030014714,0,0.030014714
Alx3,-0.029967265,0,0.029967265
Cd74,-0.029924441,0,0.029924441
Gstp1,0.029834414,0,0.029834414
Rgs9,0.029826447,0,0.029826447
Ltbr,-0.029799348,0,0.029799348
H2-Ab1,-0.029754566,0,0.029754566
Rnf7,0.029596021,0,0.029596021
Hebp2,0.029570606,0,0.029570606
Cdr1os,-0.029481543,0,0.029481543
Cdh13,0.029410653,0,0.029410653
Spata2l,0.02902815,0,0.02902815
Cdh4,-0.029016713,0,0.029016713
Id3,0.028728874,0,0.028728874
Clic6,-0.02870055,0,0.02870055
Daam1,-0.02867046,0,0.02867046
Chn2,-0.028642183,0,0.028642183
Apod,0.028615205,0,0.028615205
Fth1,0.028607666,0,0.028607666
Cdk4,0.028578462,0,0.028578462
Tsg101,0.028373927,0,0.028373927
Foxp1,0.028187914,0,0.028187914
Epb41l4aos,0.027930228,0,0.027930228
Phlpp1,0.027749198,0,0.027749198
A330084C13Rik,-0.027591052,0,0.027591052
Ahi1,-0.027508916,0,0.027508916
Tekt5,-0.027067551,0,0.027067551
Tgfa,0.02686698,0,0.02686698
Lrp5,-0.026694363,0,0.026694363
Bcas1,0.026455723,0,0.026455723
Prdm6,-0.026317606,0,0.026317606
Mfhas1,-0.026167663,0,0.026167663
Adarb2,-0.02614078,0,0.02614078
Ogn,-0.026058158,0,0.026058158
Map3k9,-0.026033085,0,0.026033085
Abcf1,-0.02596451,0,0.02596451
Sra1,0.02595285,0,0.02595285
Stk32c,0.025947774,0,0.025947774
Prg4,-0.025665484,0,0.025665484
Nptxr,-0.025584502,0,0.025584502
Mbp,0.025568293,0,0.025568293
Nxph4,0.025565946,0,0.025565946
Col1a1,-0.025465887,0,0.025465887
Pcdhga12,-0.02533055,0,0.02533055
Rasgrf2,-0.0252747,0,0.0252747
Gamt,0.02524766,0,0.02524766
Gadd45b,0.02522848,0,0.02522848
Phlda3,-0.025022097,0,0.025022097
Ngb,0.024890494,0,0.024890494
Igfbp4,-0.024465961,0,0.024465961
Timp1,-0.024147533,0,0.024147533
Tsc22d4,0.024122687,0,0.024122687
Tomm70a,0.02409671,0,0.02409671
Olfm1,-0.024025295,0,0.024025295
Fbln1,-0.023949174,0,0.023949174
Tubb2b,0.023931775,0,0.023931775
Cartpt,-0.023620551,0,0.023620551
Crh,-0.023470575,0,0.023470575
Ccn2,0.023353612,0,0.023353612
Sparc,-0.023289232,0,0.023289232
Nrp2,-0.023235157,0,0.023235157
Cebpzos,0.023134982,0,0.023134982
Col1a2,-0.023094472,0,0.023094472
Zfp609,-0.023076423,0,0.023076423
Scd2,-0.022879465,0,0.022879465
Ccnd2,0.0228098,0,0.0228098
Ech1,0.022656286,0,0.022656286
Foxc1,-0.022575527,0,0.022575527
Kcnc2,-0.022173055,0,0.022173055
Begain,-0.022013137,0,0.022013137
Poc1a,0.02199743,0,0.02199743
Tubb4a,-0.021996323,0,0.021996323
Ighm,0.021856906,0,0.021856906
Car13,-0.021714762,0,0.021714762
Stat2,-0.021609122,0,0.021609122
Itpk1,-0.021567449,0,0.021567449
Akap5,0.021393016,0,0.021393016
Dbndd2,0.021376709,0,0.021376709
Csrp1,-0.021364992,0,0.021364992
Plp1,-0.021194668,0,0.021194668
Rassf4,-0.021052293,0,0.021052293
Inf2,0.021038868,0,0.021038868
Asxl3,-0.021016218,0,0.021016218
Efhd2,-0.020651387,0,0.020651387
Clcn5,-0.020600563,0,0.020600563
Gm35290,-0.02045979,0,0.02045979
Sik3,0.020315437,0,0.020315437
2310022B05Rik,-0.020285985,0,0.020285985
Nat8l,-0.020071764,0,0.020071764
Pradc1,0.019907579,0,0.019907579
