gene,w,component,w_abs
Slc17a7,0.23484528,0,0.23484528
Pacs2,-0.19848524,0,0.19848524
Rpl4,-0.1949047,0,0.1949047
Nrgn,0.18253222,0,0.18253222
Bc1,0.18212172,0,0.18212172
Mobp,-0.17627615,0,0.17627615
Malat1,0.17088357,0,0.17088357
Olfm1,0.16911624,0,0.16911624
Endod1,-0.16550387,0,0.16550387
mt-Co2,0.1539202,0,0.1539202
Nnat,0.15390193,0,0.15390193
mt-Nd3,0.14567319,0,0.14567319
Sparc,-0.13975687,0,0.13975687
Ptk2b,0.13741846,0,0.13741846
mt-Atp6,0.13622221,0,0.13622221
mt-Nd4,0.13477878,0,0.13477878
Cpne7,0.13474555,0,0.13474555
Slc6a11,-0.13425031,0,0.13425031
Slc32a1,-0.13300341,0,0.13300341
Pvalb,-0.13101166,0,0.13101166
Vamp1,-0.12882276,0,0.12882276
Slc1a2,0.12804693,0,0.12804693
Poglut1,-0.12800579,0,0.12800579
Syt2,-0.12654847,0,0.12654847
Mag,-0.12463892,0,0.12463892
Plp1,-0.12393156,0,0.12393156
Stmn4,-0.12276685,0,0.12276685
Prkcg,0.12219104,0,0.12219104
Ldhb,-0.12001723,0,0.12001723
Ptgds,-0.11928819,0,0.11928819
Chga,-0.114898115,0,0.114898115
Fibcd1,0.113786995,0,0.113786995
H2afz,-0.11351012,0,0.11351012
Tmsb10,-0.11084923,0,0.11084923
Aldh1a1,-0.11012762,0,0.11012762
Nefm,-0.10646437,0,0.10646437
Iscu,-0.106111005,0,0.106111005
Calb2,-0.10159676,0,0.10159676
Cnp,-0.09660574,0,0.09660574
Dusp26,-0.09651729,0,0.09651729
Ewsr1,-0.09501404,0,0.09501404
Sec23b,-0.09459989,0,0.09459989
Sncg,-0.09436652,0,0.09436652
Nme7,-0.09177118,0,0.09177118
Rnf112,0.09113749,0,0.09113749
Phlda3,-0.089711204,0,0.089711204
Spag9,-0.08830256,0,0.08830256
Cryab,-0.08735597,0,0.08735597
Gfap,0.086644076,0,0.086644076
Vps4b,-0.085162185,0,0.085162185
Mog,-0.08476234,0,0.08476234
Cd83,-0.08404746,0,0.08404746
Rac1,-0.083540685,0,0.083540685
Bend6,-0.08161054,0,0.08161054
Klhdc8a,-0.0811599,0,0.0811599
Dbndd2,-0.074207954,0,0.074207954
Pcp4l1,-0.07342485,0,0.07342485
Opalin,-0.07279526,0,0.07279526
Zcchc12,-0.07131481,0,0.07131481
Crlf1,0.070931435,0,0.070931435
Enpp2,-0.070474125,0,0.070474125
Desi1,-0.07017946,0,0.07017946
Lgi3,-0.06981264,0,0.06981264
Mt1,0.069579355,0,0.069579355
Ddc,-0.06820894,0,0.06820894
Ccdc149,-0.0679373,0,0.0679373
Neurl1b,0.06786013,0,0.06786013
Fa2h,-0.067754775,0,0.067754775
Kctd9,-0.06758968,0,0.06758968
Car2,-0.06734674,0,0.06734674
Kcna6,-0.06678853,0,0.06678853
Pcbd1,-0.066080324,0,0.066080324
Cd9,-0.06578495,0,0.06578495
Glrb,-0.06570618,0,0.06570618
Txndc15,-0.06522439,0,0.06522439
