gene,msi,component,r,r_abs
Slc17a7,mz.554.0458,0,0.46877798,0.46877798
Slc17a7,mz.555.04915,0,0.45901927,0.45901927
Slc17a7,mz.697.23266,0,0.45768335,0.45768335
Slc17a7,mz.698.23612,0,0.45620367,0.45620367
Slc17a7,mz.428.14952,0,0.4558194,0.4558194
Slc17a7,mz.432.08618,0,0.45501557,0.45501557
Slc17a7,mz.431.08294,0,0.45339522,0.45339522
Slc17a7,mz.382.14402,0,0.45252088,0.45252088
Slc17a7,mz.697.2391,0,0.44611448,0.44611448
Slc17a7,mz.433.08094,0,0.43806833,0.43806833
Slc17a7,mz.427.13472,0,0.43742624,0.43742624
Slc17a7,mz.354.1128,0,0.43570113,0.43570113
Slc17a7,mz.862.09285,0,0.43487933,0.43487933
Slc17a7,mz.427.14125,0,0.42952615,0.42952615
Slc17a7,mz.398.13898,0,0.4283666,0.4283666
Slc17a7,mz.354.14918,0,0.42376235,0.42376235
Slc17a7,mz.383.14755,0,0.42361006,0.42361006
Slc17a7,mz.433.07846,0,0.41658607,0.41658607
Slc17a7,mz.482.10025,0,0.4160775,0.4160775
Slc17a7,mz.431.08737,0,0.41168517,0.41168517
Slc17a7,mz.427.13255,0,0.4097362,0.4097362
Slc17a7,mz.338.1179,0,0.40889534,0.40889534
Slc17a7,mz.556.05285,0,0.40738747,0.40738747
Slc17a7,mz.326.11793,0,0.40502948,0.40502948
Slc17a7,mz.408.12338,0,0.39651072,0.39651072
Slc17a7,mz.469.03851,0,0.39280605,0.39280605
Slc17a7,mz.415.10892,0,0.38738847,0.38738847
Pacs2,mz.554.0458,0,-0.3867744,0.3867744
Slc17a7,mz.433.08939,0,0.38609478,0.38609478
Slc17a7,mz.458.16003,0,0.38390326,0.38390326
Rpl4,mz.554.0458,0,-0.3830998,0.3830998
Pacs2,mz.697.23266,0,-0.37995088,0.37995088
Slc17a7,mz.469.04201,0,0.37784228,0.37784228
Pacs2,mz.698.23612,0,-0.3765864,0.3765864
Rpl4,mz.555.04915,0,-0.37565702,0.37565702
Pacs2,mz.382.14402,0,-0.3751933,0.3751933
Rpl4,mz.382.14402,0,-0.3750166,0.3750166
Pacs2,mz.555.04915,0,-0.37442437,0.37442437
Pacs2,mz.427.13472,0,-0.3741502,0.3741502
Pacs2,mz.428.14952,0,-0.37356246,0.37356246
Nrgn,mz.554.0458,0,0.37129322,0.37129322
Rpl4,mz.428.14952,0,-0.3708278,0.3708278
Rpl4,mz.697.23266,0,-0.37071976,0.37071976
Rpl4,mz.427.13472,0,-0.3688352,0.3688352
Mobp,mz.554.0458,0,-0.368758,0.368758
Pacs2,mz.697.2391,0,-0.36752617,0.36752617
Slc17a7,mz.470.04199,0,0.36686328,0.36686328
Nrgn,mz.555.04915,0,0.36677518,0.36677518
Rpl4,mz.698.23612,0,-0.36660004,0.36660004
Mobp,mz.697.23266,0,-0.36577994,0.36577994
Pacs2,mz.427.14125,0,-0.36410144,0.36410144
Pacs2,mz.354.14918,0,-0.36404702,0.36404702
Nrgn,mz.432.08618,0,0.363906,0.363906
Nrgn,mz.697.23266,0,0.3635058,0.3635058
Rpl4,mz.697.2391,0,-0.36214644,0.36214644
Nrgn,mz.698.23612,0,0.36181486,0.36181486
Rpl4,mz.427.14125,0,-0.36138982,0.36138982
Rpl4,mz.432.08618,0,-0.3609918,0.3609918
Nrgn,mz.428.14952,0,0.3609654,0.3609654
Slc17a7,mz.416.11226,0,0.3607206,0.3607206
Pacs2,mz.354.1128,0,-0.36063355,0.36063355
Slc17a7,mz.862.08498,0,0.36043003,0.36043003
Slc17a7,mz.310.12302,0,0.36034483,0.36034483
Rpl4,mz.354.1128,0,-0.36017644,0.36017644
Mobp,mz.428.14952,0,-0.35989702,0.35989702
Rpl4,mz.415.10892,0,-0.35980734,0.35980734
Nrgn,mz.862.09285,0,0.3594738,0.3594738
Nrgn,mz.431.08294,0,0.35904688,0.35904688
Rpl4,mz.431.08294,0,-0.35894376,0.35894376
Pacs2,mz.398.13898,0,-0.35868135,0.35868135
Mobp,mz.555.04915,0,-0.35758752,0.35758752
Bc1,mz.554.0458,0,0.3574047,0.3574047
Olfm1,mz.554.0458,0,0.35688853,0.35688853
Mobp,mz.698.23612,0,-0.3564979,0.3564979
Nrgn,mz.382.14402,0,0.3563008,0.3563008
Nrgn,mz.697.2391,0,0.35624108,0.35624108
Pacs2,mz.432.08618,0,-0.3554004,0.3554004
Rpl4,mz.398.13898,0,-0.35493132,0.35493132
Rpl4,mz.862.09285,0,-0.35440725,0.35440725
Pacs2,mz.383.14755,0,-0.35355368,0.35355368
Rpl4,mz.433.08094,0,-0.3526754,0.3526754
Slc17a7,mz.431.07851,0,0.35257712,0.35257712
Slc17a7,mz.453.06455,0,0.35232905,0.35232905
Mobp,mz.697.2391,0,-0.35201234,0.35201234
Bc1,mz.382.14402,0,0.35178027,0.35178027
Bc1,mz.428.14952,0,0.35138345,0.35138345
Pacs2,mz.338.1179,0,-0.35093123,0.35093123
Rpl4,mz.354.14918,0,-0.35054672,0.35054672
Pacs2,mz.326.11793,0,-0.35030004,0.35030004
Pacs2,mz.431.08294,0,-0.34992054,0.34992054
Olfm1,mz.697.23266,0,0.3490043,0.3490043
Pacs2,mz.415.10892,0,-0.34838775,0.34838775
Pacs2,mz.427.13255,0,-0.34834662,0.34834662
Bc1,mz.555.04915,0,0.3478138,0.3478138
Bc1,mz.354.14918,0,0.34684998,0.34684998
