gene,msi,component,r,r_abs
Penk,mz.240.123325,7,0.5887555,0.5887555
Penk,mz.240.12396999999999,7,0.58811367,0.58811367
Penk,mz.240.122615,7,0.5783277,0.5783277
Gpr88,mz.240.123325,7,0.5548416,0.5548416
Gpr88,mz.240.122615,7,0.5475824,0.5475824
Gpr88,mz.240.12396999999999,7,0.54236734,0.54236734
Penk,mz.222.02953,7,0.53942,0.53942
Cck,mz.240.12396999999999,7,-0.52699375,0.52699375
Penk,mz.837.66747,7,0.5264808,0.5264808
Slc17a7,mz.240.12396999999999,7,-0.51741356,0.51741356
Ppp1r1b,mz.240.12396999999999,7,0.5155014,0.5155014
Ppp1r1b,mz.240.123325,7,0.5152855,0.5152855
Cck,mz.240.123325,7,-0.51216346,0.51216346
Penk,mz.241.12645,7,0.5097286,0.5097286
Penk,mz.287.173085,7,0.50833565,0.50833565
Slc17a7,mz.240.123325,7,-0.50711703,0.50711703
Gpr88,mz.287.173085,7,0.5063107,0.5063107
Penk,mz.863.68026,7,0.5057777,0.5057777
Gpr88,mz.222.02953,7,0.50559175,0.50559175
Ppp1r1b,mz.240.122615,7,0.5054964,0.5054964
Pde1b,mz.240.123325,7,0.50522435,0.50522435
Pde1b,mz.240.122615,7,0.49960297,0.49960297
Cck,mz.240.122615,7,-0.49757278,0.49757278
Gpr88,mz.837.66747,7,0.49652073,0.49652073
Pde1b,mz.240.12396999999999,7,0.4961167,0.4961167
Rgs9,mz.240.12396999999999,7,0.4958188,0.4958188
Penk,mz.384.99937,7,0.49480844,0.49480844
Slc17a7,mz.240.122615,7,-0.49302363,0.49302363
Rgs9,mz.240.123325,7,0.49211454,0.49211454
Penk,mz.369.025065,7,0.48773128,0.48773128
Cck,mz.222.02953,7,-0.48605382,0.48605382
Gpr88,mz.384.99937,7,0.48366114,0.48366114
Gpr88,mz.863.68026,7,0.48295227,0.48295227
Rgs9,mz.240.122615,7,0.48233828,0.48233828
Pde10a,mz.240.123325,7,0.48042014,0.48042014
Slc17a7,mz.222.02953,7,-0.48007,0.48007
Penk,mz.364.90382,7,0.47861052,0.47861052
Pde10a,mz.240.12396999999999,7,0.4772722,0.4772722
Gpr88,mz.364.90382,7,0.47443843,0.47443843
Pde10a,mz.240.122615,7,0.4733739,0.4733739
Penk,mz.364.902325,7,0.4715947,0.4715947
Ppp1r1b,mz.837.66747,7,0.47098845,0.47098845
Gpr88,mz.369.025065,7,0.46990836,0.46990836
Penk,mz.364.90545999999995,7,0.46717575,0.46717575
Gpr88,mz.364.90545999999995,7,0.46603996,0.46603996
Olfm1,mz.240.123325,7,-0.4635207,0.4635207
Pde1b,mz.222.02953,7,0.46312574,0.46312574
Ppp1r1b,mz.222.02953,7,0.46281737,0.46281737
Gpr88,mz.364.902325,7,0.4624514,0.4624514
Olfm1,mz.240.12396999999999,7,-0.46149874,0.46149874
Gpr88,mz.241.12645,7,0.46116617,0.46116617
Rasd2,mz.240.123325,7,0.46037683,0.46037683
Pde10a,mz.364.90382,7,0.45810366,0.45810366
Ppp1r1b,mz.287.173085,7,0.45750824,0.45750824
Penk,mz.217.9387,7,0.45627105,0.45627105
Pde1b,mz.364.90382,7,0.45597553,0.45597553
Rasd2,mz.240.122615,7,0.45473605,0.45473605
Olfm1,mz.240.122615,7,-0.45408398,0.45408398
Ppp1r1b,mz.364.90382,7,0.45406267,0.45406267
Pde10a,mz.348.93134,7,0.45384017,0.45384017
Pde10a,mz.348.92984,7,0.45342395,0.45342395
Pde10a,mz.287.173085,7,0.45288017,0.45288017
Gpr88,mz.348.92984,7,0.4526335,0.4526335
Pde10a,mz.364.90545999999995,7,0.4526217,0.4526217
Penk,mz.348.92984,7,0.4519096,0.4519096
Gpr88,mz.348.93134,7,0.4502365,0.4502365
Pde1b,mz.364.90545999999995,7,0.44958568,0.44958568
Pde1b,mz.384.99937,7,0.44946522,0.44946522
Gpr88,mz.217.9387,7,0.44942796,0.44942796
Rasd2,mz.364.90382,7,0.44921803,0.44921803
Ppp1r1b,mz.384.99937,7,0.44772053,0.44772053
Penk,mz.762.473255,7,0.44754773,0.44754773
Pde1b,mz.837.66747,7,0.44727975,0.44727975
Pde1b,mz.287.173085,7,0.44718483,0.44718483
Penk,mz.348.93134,7,0.44662023,0.44662023
Ppp1r1b,mz.364.90545999999995,7,0.44629866,0.44629866
Pcp4,mz.240.123325,7,0.4461586,0.4461586
Rgs9,mz.837.66747,7,0.44574338,0.44574338
Rasd2,mz.364.90545999999995,7,0.44544357,0.44544357
