gene,msi,component,r,r_abs
Pde10a,mz.253.049875,5,0.5283575,0.5283575
Rasd2,mz.253.049875,5,0.52216977,0.52216977
Gpr88,mz.253.049875,5,0.51877874,0.51877874
Penk,mz.296.99915,5,0.5178797,0.5178797
Scn4b,mz.253.049875,5,0.5108822,0.5108822
Pde10a,mz.275.03193999999996,5,0.5075338,0.5075338
Penk,mz.275.01739,5,0.5022437,0.5022437
Gpr88,mz.296.99915,5,0.5004394,0.5004394
Ppp1r1b,mz.253.049875,5,0.49870437,0.49870437
Rasd2,mz.275.03193999999996,5,0.4920401,0.4920401
Gpr88,mz.275.01739,5,0.4905987,0.4905987
Scn4b,mz.275.03193999999996,5,0.48885792,0.48885792
Penk,mz.253.049875,5,0.48849574,0.48849574
Gpr88,mz.275.03193999999996,5,0.48642445,0.48642445
Pde10a,mz.286.97941000000003,5,0.4847195,0.4847195
Rasd2,mz.296.99915,5,0.48415738,0.48415738
Rasd2,mz.275.01739,5,0.48410696,0.48410696
Ppp1r1b,mz.296.99915,5,0.48382446,0.48382446
Pde1b,mz.253.049875,5,0.48303884,0.48303884
Drd2,mz.253.049875,5,0.48219067,0.48219067
Pde10a,mz.286.97793,5,0.48196638,0.48196638
Ppp1r1b,mz.275.01739,5,0.48072714,0.48072714
Pde10a,mz.296.99915,5,0.48054776,0.48054776
Syndig1l,mz.253.049875,5,0.47847825,0.47847825
Pde10a,mz.275.01739,5,0.47829914,0.47829914
Adora2a,mz.253.049875,5,0.4773245,0.4773245
Ppp1r1b,mz.275.03193999999996,5,0.47311062,0.47311062
Pde10a,mz.573.92474,5,0.47235316,0.47235316
Penk,mz.312.973185,5,0.4721822,0.4721822
Penk,mz.275.03193999999996,5,0.47202602,0.47202602
Drd2,mz.296.99915,5,0.4716794,0.4716794
Adcy5,mz.253.049875,5,0.4714662,0.4714662
Drd2,mz.275.01739,5,0.47026896,0.47026896
Pde1b,mz.296.99915,5,0.46978074,0.46978074
Rgs9,mz.253.049875,5,0.4672845,0.4672845
Gpr88,mz.286.97941000000003,5,0.46481383,0.46481383
Gpr88,mz.286.97793,5,0.46171522,0.46171522
Gpr88,mz.312.973185,5,0.46153492,0.46153492
Gng7,mz.296.99915,5,0.4593627,0.4593627
Pde1b,mz.275.01739,5,0.4581545,0.4581545
Drd2,mz.275.03193999999996,5,0.45673952,0.45673952
