gene,msi,component,r,r_abs
Slc17a7,mz.554.0458,0,0.46877903,0.46877903
Slc17a7,mz.555.04915,0,0.4590203,0.4590203
Slc17a7,mz.697.23266,0,0.45768407,0.45768407
Slc17a7,mz.698.23612,0,0.4562048,0.4562048
Slc17a7,mz.428.14952,0,0.4558206,0.4558206
Slc17a7,mz.432.08618,0,0.45501608,0.45501608
Slc17a7,mz.431.08294,0,0.45339555,0.45339555
Slc17a7,mz.382.14402,0,0.45252174,0.45252174
Slc17a7,mz.697.2391,0,0.44611537,0.44611537
Slc17a7,mz.433.08094,0,0.43806982,0.43806982
Slc17a7,mz.427.13472,0,0.4374272,0.4374272
Slc17a7,mz.354.1128,0,0.43570238,0.43570238
Slc17a7,mz.862.09285,0,0.4348807,0.4348807
Slc17a7,mz.427.14125,0,0.429527,0.429527
Slc17a7,mz.398.13898,0,0.42836723,0.42836723
Slc17a7,mz.354.14918,0,0.42376348,0.42376348
Slc17a7,mz.383.14755,0,0.42361104,0.42361104
Slc17a7,mz.433.07846,0,0.41658735,0.41658735
Slc17a7,mz.482.10025,0,0.4160778,0.4160778
Slc17a7,mz.431.08737,0,0.4116856,0.4116856
Slc17a7,mz.427.13255,0,0.409737,0.409737
Slc17a7,mz.338.1179,0,0.40889573,0.40889573
Slc17a7,mz.556.05285,0,0.40738833,0.40738833
Slc17a7,mz.326.11793,0,0.40503067,0.40503067
Slc17a7,mz.408.12338,0,0.39651182,0.39651182
Slc17a7,mz.469.03851,0,0.39280608,0.39280608
Slc17a7,mz.415.10892,0,0.38738927,0.38738927
Pacs2,mz.554.0458,0,-0.38677585,0.38677585
Slc17a7,mz.433.08939,0,0.38609582,0.38609582
Slc17a7,mz.458.16003,0,0.38390404,0.38390404
Rpl4,mz.554.0458,0,-0.38309988,0.38309988
Pacs2,mz.697.23266,0,-0.3799516,0.3799516
Slc17a7,mz.469.04201,0,0.37784272,0.37784272
Pacs2,mz.698.23612,0,-0.3765872,0.3765872
Rpl4,mz.555.04915,0,-0.37565702,0.37565702
Pacs2,mz.382.14402,0,-0.37519395,0.37519395
Rpl4,mz.382.14402,0,-0.3750164,0.3750164
Pacs2,mz.555.04915,0,-0.37442535,0.37442535
Pacs2,mz.427.13472,0,-0.37415123,0.37415123
Pacs2,mz.428.14952,0,-0.37356353,0.37356353
Nrgn,mz.554.0458,0,0.37129384,0.37129384
Rpl4,mz.428.14952,0,-0.37082732,0.37082732
Rpl4,mz.697.23266,0,-0.37071952,0.37071952
Rpl4,mz.427.13472,0,-0.36883518,0.36883518
Mobp,mz.554.0458,0,-0.3687602,0.3687602
Pacs2,mz.697.2391,0,-0.36752695,0.36752695
Slc17a7,mz.470.04199,0,0.36686355,0.36686355
Nrgn,mz.555.04915,0,0.36677617,0.36677617
