msi,w,component,w_abs
mz.170.03307999999998,0.38159832,0,0.38159832
mz.340.05255,0.381249,0,0.381249
mz.172.031385,0.37540925,0,0.37540925
mz.172.03089,0.3747476,0,0.3747476
mz.152.02261,0.3684023,0,0.3684023
mz.370.049525,0.36435646,0,0.36435646
mz.152.02235000000002,0.36265936,0,0.36265936
mz.171.03653500000001,0.36208323,0,0.36208323
mz.346.047975,0.36050743,0,0.36050743
mz.423.9825,0.35871175,0,0.35871175
mz.168.006295,0.35839647,0,0.35839647
mz.346.04636500000004,0.3578801,0,0.3578801
mz.174.896565,0.35582614,0,0.35582614
mz.174.89605,0.35528928,0,0.35528928
mz.185.032815,0.35508278,0,0.35508278
mz.525.92935,0.3544442,0,0.3544442
mz.362.01598,0.35347503,0,0.35347503
mz.362.01466,0.35296953,0,0.35296953
mz.399.96999500000004,0.35114664,0,0.35114664
mz.186.01682,0.35081714,0,0.35081714
mz.232.94331499999998,0.35069025,0,0.35069025
mz.399.971605,0.34953582,0,0.34953582
mz.167.02229,0.34918773,0,0.34918773
mz.603.005135,0.34892508,0,0.34892508
mz.617.9799350000001,0.34842747,0,0.34842747
mz.439.9774,0.34832296,0,0.34832296
mz.185.0332,0.34744662,0,0.34744662
mz.793.984115,0.346869,0,0.346869
mz.310.912005,0.3466221,0,0.3466221
mz.384.00255000000004,0.346519,0,0.346519
mz.423.980685,0.34623328,0,0.34623328
mz.230.9409,0.3458657,0,0.3458657
mz.639.95955,0.34368426,0,0.34368426
mz.439.97479999999996,0.34320238,0,0.34320238
mz.602.003565,0.34246963,0,0.34246963
mz.223.97273,0.3421216,0,0.3421216
mz.388.04153,0.34148413,0,0.34148413
mz.207.98897499999998,0.341474,0,0.341474
mz.424.984455,0.34071803,0,0.34071803
mz.425.979375,0.340384,0,0.340384
mz.461.868055,0.34017113,0,0.34017113
mz.617.97608,0.33959353,0,0.33959353
mz.386.02657999999997,0.339269,0,0.339269
mz.222.98873500000002,0.338785,0,0.338785
mz.599.9873749999999,0.33791977,0,0.33791977
