msi,w,component,w_abs
mz.692.066305,0.45779374,0,0.45779374
mz.346.055445,0.45672178,0,0.45672178
mz.347.058985,0.44816765,0,0.44816765
mz.196.038145,0.44809026,0,0.44809026
mz.694.07212,0.44622043,0,0.44622043
mz.241.011935,0.44199556,0,0.44199556
mz.694.07946,0.44179207,0,0.44179207
mz.241.01056499999999,0.4410144,0,0.4410144
mz.692.05835,0.44084913,0,0.44084913
mz.692.11006,0.44016284,0,0.44016284
mz.152.99544,0.43965003,0,0.43965003
mz.482.00192000000004,0.4391417,0,0.4391417
mz.259.022485,0.4390541,0,0.4390541
mz.540.0528099999999,0.43887624,0,0.43887624
mz.518.01943,0.438518,0,0.438518
mz.152.99596,0.4381859,0,0.4381859
mz.392.06176500000004,0.43752542,0,0.43752542
mz.323.02842499999997,0.43660873,0,0.43660873
mz.291.054015,0.4365663,0,0.4365663
mz.582.0764899999999,0.43589473,0,0.43589473
mz.154.92836499999999,0.43539122,0,0.43539122
mz.348.068525,0.4350009,0,0.4350009
mz.259.02081,0.43480983,0,0.43480983
mz.384.03233,0.43470478,0,0.43470478
mz.211.00143500000001,0.43387428,0,0.43387428
mz.186.91821,0.43368012,0,0.43368012
mz.211.000445,0.43330216,0,0.43330216
mz.186.91705000000002,0.4331957,0,0.4331957
mz.188.915275,0.4330946,0,0.4330946
mz.138.424135,0.43307474,0,0.43307474
mz.646.01772,0.43297938,0,0.43297938
mz.272.95704,0.43276602,0,0.43276602
mz.154.92783500000002,0.4326911,0,0.4326911
mz.373.82313,0.4322634,0,0.4322634
mz.152.99638,0.43216804,0,0.43216804
mz.838.446715,0.43176734,0,0.43176734
mz.174.03985999999998,0.43165457,0,0.43165457
mz.421.98641499999997,0.43148664,0,0.43148664
mz.138.42387000000002,0.4312373,0,0.4312373
mz.309.84772,0.4307837,0,0.4307837
mz.328.04509,0.43021175,0,0.43021175
mz.225.96523,0.43006372,0,0.43006372
mz.417.240675,0.42999303,0,0.42999303
mz.463.98009,0.42951825,0,0.42951825
mz.613.338825,0.42905968,0,0.42905968
mz.545.88614,0.42889208,0,0.42889208
mz.724.05168,0.42863262,0,0.42863262
mz.305.98295,0.4283426,0,0.4283426
mz.417.243325,0.42769966,0,0.42769966
mz.419.2534,0.42744464,0,0.42744464
mz.170.90223500000002,0.42692575,0,0.42692575
mz.419.25631999999996,0.42692208,0,0.42692208
mz.391.2251,0.42658177,0,0.42658177
mz.874.461935,0.42637822,0,0.42637822
mz.174.04082499999998,0.4261829,0,0.4261829
mz.132.030355,0.42576358,0,0.42576358
mz.244.876845,0.4257386,0,0.4257386
mz.146.04638,0.42569378,0,0.42569378
mz.174.039355,0.4255414,0,0.4255414
mz.455.232815,0.42550966,0,0.42550966
mz.146.046025,0.42535427,0,0.42535427
mz.437.266555,0.42525193,0,0.42525193
mz.807.967085,0.42515263,0,0.42515263
mz.188.91636499999998,0.4251022,0,0.4251022
mz.348.08127,0.4245942,0,0.4245942
mz.764.00958,0.42452812,0,0.42452812
mz.404.013925,0.4245066,0,0.4245066
mz.188.91444,0.42362458,0,0.42362458
mz.156.92537,0.4235369,0,0.4235369
mz.348.0702,0.42335758,0,0.42335758
mz.480.308765,0.4233088,0,0.4233088
mz.377.81707,0.423239,0,0.423239
mz.173.029235,0.42314413,0,0.42314413
mz.834.415575,0.42294538,0,0.42294538
mz.173.02787,0.42292705,0,0.42292705
mz.175.044205,0.42288664,0,0.42288664
mz.146.04552,0.42279547,0,0.42279547
mz.420.25960499999997,0.42279127,0,0.42279127
mz.362.050415,0.42267329,0,0.42267329
mz.437.269995,0.42237824,0,0.42237824
mz.174.01764500000002,0.4222768,0,0.4222768
mz.656.049825,0.4220156,0,0.4220156
mz.174.017055,0.4210932,0,0.4210932
mz.420.26254,0.42071813,0,0.42071813
mz.614.104125,0.4202632,0,0.4202632
mz.350.038165,0.41961715,0,0.41961715
mz.246.873785,0.41930765,0,0.41930765
mz.616.110865,0.41898662,0,0.41898662
mz.175.0448,0.41892144,0,0.41892144
mz.132.94644,0.41890866,0,0.41890866
mz.840.4529749999999,0.41888037,0,0.41888037
mz.480.31323499999996,0.41867694,0,0.41867694
mz.175.02487000000002,0.4186299,0,0.4186299
mz.175.023895,0.4186088,0,0.4186088
mz.419.987705,0.41834474,0,0.41834474
mz.540.13921,0.41832283,0,0.41832283
mz.292.08275000000003,0.41812226,0,0.41812226
mz.171.006475,0.41807264,0,0.41807264
mz.614.123965,0.41778418,0,0.41778418
mz.299.0536,0.4177517,0,0.4177517
mz.815.9595449999999,0.41761485,0,0.41761485
mz.272.08874000000003,0.41704023,0,0.41704023
mz.194.08053999999998,0.41698915,0,0.41698915
mz.435.251125,0.41643044,0,0.41643044
mz.140.011935,0.41617116,0,0.41617116
mz.315.04867,0.41591853,0,0.41591853
mz.342.95998,0.41591427,0,0.41591427
mz.152.89171,0.41558796,0,0.41558796
mz.782.3923749999999,0.41543916,0,0.41543916
mz.462.298245,0.41514796,0,0.41514796
mz.347.052815,0.41493022,0,0.41493022
mz.348.022585,0.41488433,0,0.41488433
mz.630.06039,0.4148767,0,0.4148767
mz.154.928795,0.41463062,0,0.41463062
mz.112.985715,0.41447082,0,0.41447082
mz.541.056195,0.41441262,0,0.41441262
mz.482.01800000000003,0.41414434,0,0.41414434
mz.267.00973,0.41393843,0,0.41393843
mz.306.07628,0.4138222,0,0.4138222
mz.308.07336,0.41369963,0,0.41369963
mz.384.98407999999995,0.41364774,0,0.41364774
mz.406.01095,0.41312775,0,0.41312775
mz.612.11716,0.41267067,0,0.41267067
mz.448.00337,0.41257933,0,0.41257933
mz.225.96650499999998,0.41256055,0,0.41256055
mz.614.343285,0.4125041,0,0.4125041
mz.386.154045,0.41201955,0,0.41201955
mz.188.917055,0.41171417,0,0.41171417
mz.473.24301,0.41171262,0,0.41171262
mz.350.07683499999996,0.41125888,0,0.41125888
mz.386.140215,0.41103664,0,0.41103664
mz.489.731035,0.41069692,0,0.41069692
mz.307.06988,0.41066858,0,0.41066858
mz.333.05905,0.4105989,0,0.4105989
mz.347.07998499999997,0.410528,0,0.410528
mz.418.24401,0.41035545,0,0.41035545
mz.247.97343,0.41028205,0,0.41028205
mz.372.07109,0.41002086,0,0.41002086
mz.408.01122,0.4099857,0,0.4099857
mz.685.875515,0.40996644,0,0.40996644
mz.768.0093449999999,0.4097492,0,0.4097492
mz.297.03797499999996,0.40940762,0,0.40940762
mz.413.800955,0.40939286,0,0.40939286
mz.388.14684,0.40859568,0,0.40859568
mz.307.07157500000005,0.40852186,0,0.40852186
mz.292.08393,0.40833104,0,0.40833104
mz.193.0771,0.40830705,0,0.40830705
mz.136.917825,0.40819347,0,0.40819347
mz.341.79344000000003,0.40814593,0,0.40814593
mz.308.05392,0.4079319,0,0.4079319
mz.242.01527,0.40725198,0,0.40725198
mz.280.016355,0.40696836,0,0.40696836
mz.273.828515,0.4064119,0,0.4064119
mz.224.06938,0.4063604,0,0.4063604
mz.225.97116499999998,0.40623602,0,0.40623602
mz.130.05105,0.40609038,0,0.40609038
mz.206.908445,0.4056355,0,0.4056355
mz.581.307965,0.405461,0,0.405461
mz.328.05834500000003,0.40539753,0,0.40539753
mz.325.989335,0.40514156,0,0.40514156
mz.305.98165500000005,0.40505543,0,0.40505543
mz.124.00753499999999,0.40485495,0,0.40485495
mz.112.98528999999999,0.40478843,0,0.40478843
mz.544.149505,0.40474036,0,0.40474036
mz.342.00199,0.40458962,0,0.40458962
mz.260.85066,0.40458834,0,0.40458834
mz.400.00625,0.40456828,0,0.40456828
mz.307.079795,0.40451375,0,0.40451375
mz.363.05376,0.4043693,0,0.4043693
mz.388.14475500000003,0.40426168,0,0.40426168
mz.112.98559,0.40391362,0,0.40391362
mz.348.061985,0.4036496,0,0.4036496
mz.191.01984,0.4031615,0,0.4031615
mz.308.071915,0.40302816,0,0.40302816
mz.242.04348,0.4028904,0,0.4028904
