msi,w,component,w_abs
mz.431.08294,0.51357484,0,0.51357484
mz.432.08618,0.5105094,0,0.5105094
mz.433.08094,0.49165067,0,0.49165067
mz.431.08737,0.4907067,0,0.4907067
mz.415.10892,0.48266354,0,0.48266354
mz.469.03851,0.47837582,0,0.47837582
mz.862.09285,0.47727033,0,0.47727033
mz.469.04201,0.4689663,0,0.4689663
mz.433.07846,0.45375216,0,0.45375216
mz.416.11226,0.45042908,0,0.45042908
mz.453.06455,0.44890442,0,0.44890442
mz.482.10025,0.44812322,0,0.44812322
mz.352.13361,0.44804376,0,0.44804376
mz.351.14952,0.4447359,0,0.4447359
mz.325.08221,0.4360271,0,0.4360271
mz.324.07894,0.4320571,0,0.4320571
mz.382.14402,0.43012416,0,0.43012416
mz.624.27776,0.4297544,0,0.4297544
mz.433.08939,0.42935246,0,0.42935246
mz.470.04199,0.42852965,0,0.42852965
mz.622.29085,0.42714643,0,0.42714643
mz.431.07851,0.42574948,0,0.42574948
mz.862.08498,0.42536664,0,0.42536664
mz.310.12302,0.42476138,0,0.42476138
mz.554.0458,0.4227649,0,0.4227649
mz.398.13898,0.4222421,0,0.4222421
mz.427.13255,0.42210385,0,0.42210385
mz.354.14918,0.42075938,0,0.42075938
mz.338.1179,0.4198707,0,0.4198707
mz.408.12338,0.41979155,0,0.41979155
mz.312.13867,0.41919968,0,0.41919968
mz.428.14952,0.41830918,0,0.41830918
mz.311.1529,0.41552114,0,0.41552114
mz.697.23266,0.4153273,0,0.4153273
mz.407.14256,0.41343552,0,0.41343552
mz.354.1128,0.4122467,0,0.4122467
mz.311.15701,0.4119491,0,0.4119491
mz.698.23612,0.41185907,0,0.41185907
mz.556.05285,0.41087592,0,0.41087592
mz.312.15803,0.41066653,0,0.41066653
mz.458.16003,0.41015634,0,0.41015634
mz.555.04915,0.40928325,0,0.40928325
mz.383.14755,0.4090183,0,0.4090183
mz.427.13472,0.407503,0,0.407503
mz.427.14125,0.40745953,0,0.40745953
mz.340.13357,0.40563604,0,0.40563604
mz.324.08158,0.40485924,0,0.40485924
mz.429.0767,0.40466776,0,0.40466776
mz.326.11793,0.40331593,0,0.40331593
mz.697.2391,0.4017204,0,0.4017204
mz.311.15226,0.40068442,0,0.40068442
mz.539.21175,0.4005354,0,0.4005354
mz.864.13362,0.40006185,0,0.40006185
mz.370.1441,0.39928842,0,0.39928842
mz.311.1547,0.39901873,0,0.39901873
mz.355.11611,0.3985716,0,0.3985716
mz.427.13738,0.39819887,0,0.39819887
mz.298.12293,0.3971756,0,0.3971756
mz.289.12287,-0.3970715,0,0.3970715
mz.326.07693,0.39515248,0,0.39515248
mz.426.13386,0.39425057,0,0.39425057
mz.429.1528,0.39424452,0,0.39424452
mz.313.17019,0.39117214,0,0.39117214
mz.483.10387,0.39015135,0,0.39015135
mz.426.1394,0.38948184,0,0.38948184
mz.444.14443,0.3893369,0,0.3893369
mz.393.12703,0.3892855,0,0.3892855
mz.309.13891,0.3890289,0,0.3890289
mz.553.22724,0.3888801,0,0.3888801
mz.554.0519,0.3884805,0,0.3884805
mz.651.22691,0.38735157,0,0.38735157
mz.554.23047,0.38686273,0,0.38686273
mz.412.11825,0.3868586,0,0.3868586
mz.290.12525,-0.38668936,0,0.38668936
mz.428.14054,0.38667792,0,0.38667792
mz.426.12809,0.385668,0,0.385668
mz.539.21599,0.38534918,0,0.38534918
mz.697.22494,0.38470423,0,0.38470423
mz.404.16475,0.38437435,0,0.38437435
mz.553.2313,0.38379744,0,0.38379744
mz.397.15494,0.38354108,0,0.38354108
mz.699.22822,0.38280696,0,0.38280696
mz.449.1863,0.38254678,0,0.38254678
mz.711.24052,0.3812534,0,0.3812534
mz.711.25459,0.3808647,0,0.3808647
mz.711.24789,0.3804306,0,0.3804306
mz.394.19183,0.38002014,0,0.38002014
mz.313.16122,0.37980253,0,0.37980253
mz.712.25113,0.37953335,0,0.37953335
mz.693.23733,0.37941986,0,0.37941986
mz.471.03683,0.37887907,0,0.37887907
mz.368.12845,0.3787702,0,0.3787702
mz.699.23923,0.37827185,0,0.37827185
mz.555.23694,0.37805384,0,0.37805384
mz.445.14777,0.37783855,0,0.37783855
mz.698.24258,0.37661278,0,0.37661278
mz.399.14248,0.37552902,0,0.37552902
mz.368.17603,0.37492716,0,0.37492716
mz.630.26486,0.37463036,0,0.37463036
mz.713.26394,0.37457538,0,0.37457538
